VERSION 1
1) D
2) B
3) A
4) C
5) A
6) B
7) B
8) dropped
9) dropped
10) B
11) B
12) C
13) B
14) B
15) A
16) C
17) C
18) A
19) A
20) D

VERSION 2
1) dropped
2) B
3) A
4) dropped
5) D
6) C
7) B
8) D
9) C
10) B
11) A
12) A
13) B
14) B
15) C
16) B
17) C
18) A
19) A
20) B

VERSION 3
1) C
2) dropped
3) B
4) C
5) B
6) C
7) A
8) B
9) dropped
10) B
11) B
12) A
13) B
14) B
15) C
16) A
17) D
18) A
19) A
20) D

VERSION 4
1) A
2) D
3) B
4) C
5) C
6) A
7) D
8) A
9) B
10) dropped
11) A
12) C
13) B
14) dropped
15) B
16) A
17) B
18) C
19) B
20) B

VERSION 5
1) D
2) A
3) B
4) B
5) A
6) D
7) E
8) dropped
9) A
10) dropped
11) B
12) C
13) B
14) A
15) C
16) B
17) C
18) D
19) C
20) C

VERSION 6
1) A
2) B
3) E
4) C
5) D
6) B
7) A
8) C
9) C
10) D
11) dropped
12) dropped
13) B
14) C
15) D
16) A
17) A
18) B
19) B
20) C

VERSION 7
1) B
2) A
3) dropped
4) B
5) C
6) A
7) C
8) C
9) D
10) A
11) D
12) B
13) A
14) C
15) C
16) E
17) B
18) B
19) D
20) dropped

VERSION 8
1) dropped
2) C
3) B
4) B
5) A
6) C
7) A
8) E
9) D
10) D
11) B
12) dropped
13) A
14) B
15) D
16) C
17) C
18) A
19) B
20) C
