
VERSION 1
1) C
2) C
3) D
4) D
5) B
6) B
7) A
8) E
9) A
10) C
11) A
12) C
13) C
14) A
15) B
16) A
17) B
18) D
19) A
20) B
21) B
22) D
23) B
24) B
25) A
26) E
27) B
28) A
29) A
30) A

VERSION 2
1) D
2) B
3) D
4) A
5) C
6) E
7) B
8) E
9) B
10) B
11) B
12) A
13) C
14) A
15) A
16) A
17) B
18) A
19) A
20) B
21) A
22) C
23) D
24) B
25) C
26) B
27) D
28) C
29) A
30) A

VERSION 3
1) D
2) C
3) B
4) A
5) B
6) E
7) B
8) D
9) B
10) C
11) A
12) B
13) C
14) B
15) A
16) A
17) B
18) B
19) D
20) C
21) D
22) A
23) A
24) A
25) B
26) A
27) C
28) A
29) A
30) E

VERSION 4
1) D
2) B
3) B
4) B
5) A
6) C
7) D
8) A
9) B
10) B
11) A
12) C
13) E
14) A
15) B
16) E
17) C
18) A
19) B
20) A
21) D
22) A
23) B
24) B
25) A
26) C
27) A
28) A
29) C
30) D

VERSION 5
1) A
2) C
3) A
4) A
5) D
6) A
7) B
8) B
9) A
10) A
11) C
12) D
13) A
14) A
15) B
16) B
17) A
18) B
19) A
20) B
21) B
22) C
23) D
24) A
25) B
26) B
27) D
28) B
29) B
30) C

VERSION 6
1) A
2) B
3) B
4) B
5) A
6) B
7) A
8) D
9) A
10) A
11) B
12) A
13) A
14) B
15) B
16) C
17) C
18) D
19) C
20) B
21) D
22) A
23) C
24) A
25) B
26) B
27) A
28) D
29) A
30) B

VERSION 7
1) A
2) B
3) C
4) B
5) D
6) A
7) A
8) A
9) B
10) A
11) D
12) C
13) A
14) B
15) A
16) B
17) B
18) A
19) C
20) B
21) C
22) A
23) B
24) D
25) B
26) B
27) D
28) A
29) A
30) B

VERSION 8
1) A
2) A
3) B
4) B
5) B
6) A
7) D
8) D
9) A
10) B
11) A
12) B
13) C
14) B
15) C
16) A
17) A
18) A
19) B
20) B
21) B
22) D
23) C
24) B
25) B
26) A
27) D
28) A
29) C
30) A
