question,type,value,notes
1,int,24801002666,
2,dict,"{'82.13.163.caf': 3527,
 '217.174.255.dgd': 3551,
 '208.77.214.jeh': 3806,
 '208.77.215.jeh': 3903,
 '103.238.106.gif': 4428,
 '204.212.175.bch': 4708,
 '68.180.231.abf': 5493,
 '52.45.218.ihf': 5562,
 '183.195.251.hah': 6524,
 '54.152.17.ccg': 12562}",
3,float,0.03466852724527611,
4,str,'1627631/0001627631-15-000004/.txt',
5,int,971,
6,str,'United States of America',
7,dict,"{'-': 0.0,
 'Algeria': 0.0,
 'Angola': 0.0,
 'Armenia': 0.0,
 'Australia': 0.07692307692307693,
 'Austria': 0.0,
 'Bangladesh': 0.0,
 'Brazil': 0.0,
 'Bulgaria': 0.3333333333333333,
 'Canada': 0.017857142857142856,
 'China': 0.006864988558352402,
 'Croatia': 0.0,
 'Cyprus': 0.0,
 'Czechia': 0.0,
 'Denmark': 0.0,
 'Egypt': 0.0,
 'Estonia': 0.0,
 'Finland': 0.0,
 'France': 0.0036900369003690036,
 'Germany': 0.0,
 'Greece': 0.0,
 'Honduras': 0.0,
 'Hong Kong': 0.0,
 'Hungary': 0.0,
 'India': 0.058823529411764705,
 'Indonesia': 0.0,
 'Iraq': 0.0,
 'Ireland': 0.3125,
 'Israel': 0.0,
 'Italy': 0.0,
 'Japan': 0.0,
 'Jersey': 0.0,
 'Jordan': 0.0,
 'Korea (Republic of)': 0.2,
 'Latvia': 0.0,
 'Lebanon': 0.0,
 'Liberia': 0.0,
 'Luxembourg': 0.0,
 'Malaysia': 0.0,
 'Mexico': 0.0,
 'Mongolia': 0.0,
 'Morocco': 0.0,
 'Netherlands': 0.0,
 'Nigeria': 0.0,
 'North Macedonia': 0.0,
 'Pakistan': 0.0,
 'Philippines': 0.0,
 'Poland': 0.0,
 'Portugal': 0.0,
 'Romania': 0.0,
 'Russian Federation': 0.0,
 'Saudi Arabia': 0.0,
 'Singapore': 0.0,
 'Slovakia': 0.0,
 'Slovenia': 0.0,
 'South Africa': 0.0,
 'Spain': 0.0,
 'Sudan': 0.0,
 'Sweden': 0.0,
 'Switzerland': 0.0,
 'Syrian Arab Republic': 0.0,
 'Taiwan (Province of China)': 0.0,
 'Tanzania, United Republic of': 0.0,
 'Thailand': 0.0,
 'Turkey': 0.0,
 'Ukraine': 0.0,
 'United Kingdom of Great Britain and Northern Ireland': 0.06666666666666667,
 'United States of America': 0.019862490450725745,
 'Venezuela (Bolivarian Republic of)': 0.0,
 'Viet Nam': 0.0,
 'Virgin Islands (British)': 0.0,
 'Yemen': 0.0}",
8,dict,"{'DE': 316,
 'NV': 38,
 'MS': 1,
 'MA': 11,
 'CA': 12,
 'NY': 17,
 'unknown': 54,
 'D8': 1,
 'P7': 2,
 'MD': 25,
 'SD': 1,
 'L3': 4,
 'E9': 9,
 'X0': 12,
 'MN': 14,
 'IL': 2,
 'NC': 4,
 'PA': 10,
 'KY': 1,
 'AR': 1,
 'FL': 7,
 'GA': 1,
 'KS': 3,
 'D0': 1,
 'VA': 4,
 'OH': 6,
 'NJ': 5,
 'A6': 4,
 'Z4': 2,
 'TX': 10,
 'UT': 2,
 'A9': 1,
 'MI': 7,
 'de': 1,
 'A1': 2,
 'F3': 1,
 'WI': 5,
 'LA': 1,
 '1T': 1,
 'WA': 3,
 'OR': 2,
 'OK': 2,
 'IN': 3,
 'CO': 7,
 'A8': 1,
 'L2': 1,
 '2M': 1,
 'V8': 8,
 'X1': 1,
 'AZ': 1,
 'MO': 1}",
9,dict,"{0: 8305,
 1: 8242,
 2: 8550,
 3: 8850,
 4: 8343,
 5: 9783,
 6: 7761,
 7: 8213,
 8: 8292,
 9: 11033,
 10: 6377,
 11: 6435,
 12: 6155,
 13: 6006,
 14: 6654,
 15: 6512,
 16: 5680,
 17: 6487,
 18: 6356,
 19: 6211,
 20: 6066,
 21: 6164,
 22: 6098,
 23: 6283}",
10,dict,"{'Accident &amp; Health Insurance': 21,
 'Agricultural Chemicals': 2,
 'Agricultural Production-Crops': 1,
 'Air Transportation, Nonscheduled': 22,
 'Air Transportation, Scheduled': 42,
 'Air-Cond &amp; Warm Air Heatg Equip &amp; Comm &amp; Indl Refrig Equip': 1,
 'Aircraft': 1,
 'Asset-Backed Securities': 18,
 'Beverages': 1,
 'Biological Products, (No Diagnostic Substances)': 429,
 'Bituminous Coal &amp; Lignite Surface Mining': 2,
 'Blank Checks': 2,
 'Blankbooks, Looseleaf Binders &amp; Bookbindg &amp; Relatd Work': 1,
 'Cable &amp; Other Pay Television Services': 108,
 'Calculating &amp; Accounting Machines (No Electronic Computers)': 1,
 'Canned, Frozen &amp; Preservd Fruit, Veg &amp; Food Specialties': 1,
 'Canned, Fruits, Veg, Preserves, Jams &amp; Jellies': 1,
 'Carpets &amp; Rugs': 1,
 'Chemicals &amp; Allied Products': 3,
 'Cigarettes': 2,
 'Commercial Banks, NEC': 83,
 'Commercial Printing': 1,
 'Commodity Contracts Brokers &amp; Dealers': 85,
 'Communications Equipment, NEC': 2,
 'Communications Services, NEC': 1,
 'Computer Communications Equipment': 3,
 'Computer Peripheral Equipment, NEC': 2,
 'Concrete Products, Except Block &amp; Brick': 81,
 'Construction - Special Trade Contractors': 31,
 'Converted Paper &amp; Paperboard Prods (No Contaners/Boxes)': 1,
 'Crude Petroleum &amp; Natural Gas': 550,
 'Cutlery, Handtools &amp; General Hardware': 3,
 'Deep Sea Foreign Transportation of  Freight': 43,
 'Drilling Oil &amp; Gas Wells': 31,
 'Electric &amp; Other Services Combined': 70,
 'Electric Services': 8,
 'Electrical Industrial Apparatus': 50,
 'Electrical Work': 11,
 'Electromedical &amp; Electrotherapeutic Apparatus': 2,
 'Electronic Components, NEC': 5,
 'Electronic Computers': 6,
 'Electronic Connectors': 4,
 'Engines &amp; Turbines': 66,
 'Fabricated Plate Work (Boiler Shops)': 1,
 'Fats &amp; Oils': 33,
 'Federal &amp; Federally-Sponsored Credit Agencies': 1,
 'Finance Services': 11,
 'Fire, Marine &amp; Casualty Insurance': 91,
 'Fishing, Hunting and Trapping': 39,
 'Footwear, (No Rubber)': 1,
 'Functions Related To Depository Banking, NEC': 1,
 ""Games, Toys &amp; Children's Vehicles (No Dolls &amp; Bicycles)"": 1,
 'Gold and Silver Ores': 2,
 'Hazardous Waste Management': 23,
 'Hospital &amp; Medical Service Plans': 30,
 'Household Appliances': 1,
 'Household Furniture': 171,
 'Ice Cream &amp; Frozen Desserts': 1,
 'Industrial Inorganic Chemicals': 2,
 'Industrial Organic Chemicals': 226,
 'Industrial Trucks, Tractors, Trailors &amp; Stackers': 1,
 'Instruments For Meas &amp; Testing of  Electricity &amp; Elec Signals': 164,
 'Insurance Agents, Brokers &amp; Service': 3,
 'Investment Advice': 171,
 'Investors, NEC': 46,
 'Laboratory Analytical Instruments': 56,
 'Life Insurance': 2,
 'Machine Tools, Metal Cutting Types': 1,
 'Magnetic &amp; Optical Recording Media': 55,
 'Measuring &amp; Controlling Devices, NEC': 73,
 ""Men's &amp; Boys' Furnishgs, Work Clothg, &amp; Allied Garments"": 1,
 'Metal Doors, Sash, Frames, Moldings &amp; Trim': 1,
 'Metal Mining': 273,
 'Millwood, Veneer, Plywood, &amp; Structural Wood Members': 6,
 'Mining &amp; Quarrying of  Nonmetallic Minerals (No Fuels)': 3,
 'Misc Industrial &amp; Commercial Machinery &amp; Equipment': 24,
 'Miscellaneous Chemical Products': 2,
 'Miscellaneous Electrical Machinery, Equipment &amp; Supplies': 2,
 'Miscellaneous Fabricated Metal Products': 1,
 'Miscellaneous Manufacturing Industries': 34,
 'Motor Vehicle Parts &amp; Accessories': 1,
 'Motor Vehicles &amp; Passenger Car Bodies': 1,
 'Motors &amp; Generators': 38,
 'National Commercial Banks': 204,
 'Natural Gas Distribution': 1,
 'Natural Gas Transmission': 31,
 'Newspapers: Publishing or  Publishing &amp; Printing': 1,
 'Oil &amp; Gas Field Exploration Services': 2,
 'Oil &amp; Gas Field Services, NEC': 656,
 'Oil Royalty Traders': 19,
 'Operative Builders': 4,
 'Operators of  Apartment Buildings': 38,
 'Optical Instruments &amp; Lenses': 1,
 'Orthopedic, Prosthetic &amp; Surgical Appliances &amp; Supplies': 87,
 'Personal Credit Institutions': 2,
 'Petroleum Refining': 1,
 'Pharmaceutical Preparations': 984,
 'Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)': 1,
 'Printed Circuit Boards': 1,
 'Radio &amp; Tv Broadcasting &amp; Communications Equipment': 23,
 'Radiotelephone Communications': 4,
 'Real Estate': 1,
 'Real Estate Investment Trusts': 90,
 'Retail-Auto &amp; Home Supply Stores': 1,
 'Retail-Auto Dealers &amp; Gasoline Stations': 4,
 'Retail-Catalog &amp; Mail-Order Houses': 1,
 'Retail-Department Stores': 90,
 'Retail-Eating  Places': 19,
 'Retail-Family Clothing Stores': 1,
 'Retail-Hobby, Toy &amp; Game Shops': 1,
 'Retail-Jewelry Stores': 33,
 'Retail-Miscellaneous Retail': 35,
 'Retail-Miscellaneous Shopping Goods Stores': 2,
 'Retail-Nonstore Retailers': 1,
 'Retail-Radio, Tv &amp; Consumer Electronics Stores': 1,
 'Retail-Retail Stores, NEC': 1,
 'Retail-Shoe Stores': 2,
 ""Retail-Women's Clothing Stores"": 99,
 'Savings Institution, Federally Chartered': 7,
 'Savings Institutions, Not Federally Chartered': 1,
 'Security &amp; Commodity Brokers, Dealers, Exchanges &amp; Services': 1,
 'Security Brokers, Dealers &amp; Flotation Companies': 237,
 'Semiconductors &amp; Related Devices': 5,
 'Service Industries For The Printing Trade': 1,
 'Services-Advertising Agencies': 1,
 'Services-Amusement &amp; Recreation Services': 2,
 'Services-Business Services, NEC': 26,
 'Services-Commercial Physical &amp; Biological Research': 25,
 'Services-Computer Integrated Systems Design': 48,
 'Services-Computer Processing &amp; Data Preparation': 94,
 'Services-Computer Programming Services': 229,
 'Services-Computer Programming, Data Processing, Etc.': 39,
 'Services-Consumer Credit Reporting, Collection Agencies': 1,
 'Services-Detective, Guard &amp; Armored Car Services': 1,
 'Services-Educational Services': 1,
 'Services-Employment Agencies': 1,
 'Services-Engineering Services': 2,
 'Services-General Medical &amp; Surgical Hospitals, NEC': 3,
 'Services-Help Supply Services': 1,
 'Services-Home Health Care Services': 2,
 'Services-Mailing, Reproduction, Commercial Art &amp; Photography': 1,
 'Services-Management Consulting Services': 27,
 'Services-Misc Health &amp; Allied Services, NEC': 32,
 'Services-Miscellaneous Amusement &amp; Recreation': 1,
 'Services-Miscellaneous Equipment Rental &amp; Leasing': 1,
 'Services-Motion Picture &amp; Video Tape Distribution': 1,
 'Services-Motion Picture &amp; Video Tape Production': 25,
 'Services-Motion Picture Theaters': 62,
 'Services-Personal Services': 94,
 'Services-Photofinishing Laboratories': 1,
 'Services-Prepackaged Software': 16,
 'Services-Skilled Nursing Care Facilities': 1,
 'Services-Specialty Outpatient Facilities, NEC': 1,
 'Services-To Dwellings &amp; Other Buildings': 40,
 'Services-Video Tape Rental': 1,
 'Ship &amp; Boat Building &amp; Repairing': 1,
 'Special Industry Machinery (No Metalworking Machinery)': 1,
 'Special Industry Machinery, NEC': 20,
 'Specialty Cleaning, Polishing and Sanitation Preparations': 1,
 'State Commercial Banks': 379,
 'Steel Pipe &amp; Tubes': 1,
 'Steel Works, Blast Furnaces &amp; Rolling Mills (Coke Ovens)': 31,
 'Surgical &amp; Medical Instruments &amp; Apparatus': 14,
 'Telephone &amp; Telegraph Apparatus': 2,
 'Telephone Communications (No Radiotelephone)': 4,
 'Television Broadcasting Stations': 7,
 'Trucking (No Local)': 35,
 'Water Supply': 1,
 'Water, Sewer, Pipeline, Comm &amp; Power Line Construction': 1,
 'Wholesale-Chemicals &amp; Allied Products': 1,
 ""Wholesale-Drugs, Proprietaries &amp; Druggists' Sundries"": 34,
 'Wholesale-Electronic Parts &amp; Equipment, NEC': 2,
 'Wholesale-Lumber &amp; Other Construction Materials': 1,
 'Wholesale-Petroleum &amp; Petroleum Products (No Bulk Stations)': 36,
 'unknown': 414}",
