question,type,value,notes
1,int,72,
2,Figure,plt.Figure(),
3,list,"['Kewaunee County',
 'Calumet County',
 'Adams County',
 'Eau Claire County',
 'Milwaukee County',
 'Ashland County',
 'Wood County',
 'Dodge County',
 'Sauk County',
 'Clark County',
 'Pepin County',
 'Taylor County',
 'Iron County',
 'Outagamie County',
 'Florence County',
 'Oneida County',
 'Pierce County',
 'Grant County']",
4,float,0.022002661530554857,
5,float,82032.53073541154,tolerance=0.00001
6,list,"['Kewaunee County',
 'Calumet County',
 'Adams County',
 'Eau Claire County',
 'Milwaukee County',
 'Ashland County',
 'Wood County',
 'Dodge County',
 'Sauk County',
 'Clark County',
 'Pepin County',
 'Taylor County',
 'Iron County',
 'Outagamie County',
 'Florence County',
 'Oneida County',
 'Pierce County',
 'Grant County']",
7,dict,"{'Walworth County': 51531,
 'Marquette County': 9896,
 'Racine County': 82164,
 'Waupaca County': 25396,
 'Lincoln County': 16784,
 'Washburn County': 12979,
 'Door County': 23966,
 'Waukesha County': 160864,
 'Sheboygan County': 50766,
 'La Crosse County': 48402,
 'Langlade County': 12360,
 'Marathon County': 57734,
 'Jefferson County': 35147,
 'Price County': 11120,
 'Vilas County': 25116,
 'Columbia County': 26137,
 'Ozaukee County': 36267,
 'Fond du Lac County': 43910,
 'Crawford County': 8802,
 'Lafayette County': 7230,
 'Green County': 15856,
 'Marinette County': 30379,
 'Vernon County': 13720,
 'Douglas County': 22825,
 'Rock County': 68422,
 'Iowa County': 10719,
 'Dane County': 216022,
 'Bayfield County': 12999,
 'Polk County': 24248,
 'Trempealeau County': 12619,
 'Brown County': 104371,
 'Washington County': 54695,
 'Chippewa County': 27185,
 'Oconto County': 23537,
 'Richland County': 8868,
 'Portage County': 30054,
 'Sawyer County': 15975,
 'Menominee County': 2253,
 'Barron County': 23614,
 'Shawano County': 20720,
 'Winnebago County': 73329,
 'Rusk County': 8883,
 'Manitowoc County': 37189,
 'Dunn County': 17964,
 'Monroe County': 19204,
 'Waushara County': 14843,
 'Forest County': 8970,
 'Green Lake County': 10616,
 'Juneau County': 14669,
 'St. Croix County': 33983,
 'Buffalo County': 6664,
 'Kenosha County': 69288,
 'Jackson County': 9727,
 'Burnett County': 15278}",
8,float,0.9652534544116037,
9,float,0.03704265206670459,
10,str,'POP100 = 2.39*HU100 + -7910.46',
11,Figure,plt.Figure(),Train a linear regression model to predict population with land area
12,int,12,
13,Figure,plt.Figure(),
14,float,0.7963037455950543,
15,dict,"{'developed_open': {'Walworth County': 91733,
  'Marquette County': 43703,
  'Racine County': 54221},
 'developed_low': {'Walworth County': 86417,
  'Marquette County': 27193,
  'Racine County': 83597},
 'developed_med': {'Walworth County': 25760,
  'Marquette County': 4541,
  'Racine County': 59855},
 'developed_high': {'Walworth County': 8235,
  'Marquette County': 665,
  'Racine County': 23884},
 'POP100': {'Walworth County': 102228,
  'Marquette County': 15404,
  'Racine County': 195408}}",
16,float,0.5,
17,Figure,plt.Figure(),
18,float,0.5901016651025441,
